MICRONUTRIENTES EN AGRICULTURA;MORTVEDT;32,5;115,5
FERTILIZANTES. NUTRICION VEGETAL;RODRIGUEZ;0;68
RIEGO POR GOTEO;RODRIGUEZ;14,95;74,8
SEMILLAS Y SUS USOS. LAS;DUFFUS;16,25;74,8
FISIOLOGIA VEGETAL;BIDWELL;39;176
AGUACATE EL;RODRIGUEZ SUPPO;14,95;74,8
GENOTECNIA DE CULTIVOS TROPICALES PERENEES;FERWERDA,F.P.;0;120
HORTICULTURA;GORDON Y BARDEN;32,5;181,5
EXPERTO HORTICULTOR EL;BOSSO Y SERATINI;14,95;49,5
INTRODUCCION A LA FLORICULTURA;LARSON ROY;32,5;176
PRINCIPIOS DE LA TECNOLOGIA DE LACTEOS;WARNER JAMES;16,25;63,8
GENOTECNIA VEGETAL I;MARQUEZ F.;22,75;126,5
GENOTECNIA VEGETAL II;MARQUEZ F.;39;132
INTRODUCCION A LA BIOLOGIA FORESTAL;HAROLD Y HOCKER;52;110
INTRODUCCION A LA BIOLOGIA DE LOS PLATELMINTOS;LAMOTHE;12,35;45,1
ECOLOGIA FORESTAL;SPPUR Y BARNES;32,5;55
NOTAS PRACTICAS DE AVICULTURA MODERNA;GIAVARINI;12,35;41,8
ECOLOGIA DE LA ZONA COSTERA;YAÑEZ-ARANCIBIA.;14,3;42,9
ICTIOLOGIA;BARDACH;27,3;156,2
ACUACULTURA. CRIANZA Y CULTIVO DE ORGANISMOS MARIN;BARDACH;35,75;176
PROCESOS DE MANUFACTURA;JIMENEZ;12,35;46,2
METROLOGIA GEOMETRICA DIMENCIONAL;GALICIA SANCHEZ;16,25;50,6
MANUAL DEL MONTADOR Y SOLDADOR DE TUBERIAS;FRANKLAND;10,4;42,9
MANUAL DE PRESCRIPCION MEDICAMENTOSA;RIVAS VILCHIS;12,35;45,1
TABLAS DE INTERES COMPUESTO PARA LA ELABORACION;GUZMANY AGUILAR;16,25;57,2
HISTORIA DE LA AGRICULTURA;REYES CASTAÑEDA;14,95;49,5
INTRODUCCION A LA HISTORIA DE LA CIENCIA;ROJAS GARCIDUEÑAS MANUEL;13;46,2
INTRODUCCION A LA QUIMICA MARINA;RILEY Y CHESTER;27,3;115,5
INSECTOS COMESTIBLES EN EL MEXICO ANTIGUO LOS;RAMOS ELORDUY Y PINO;14,95;50,6
MAIZ Y SU CULTIVO EL;REYES CASTAÑEDA;29,25;97,9
BIOLOGIA Y PRODUCTIVIDAD DE CULTIVOS;CARLSON ET AL;32,5;110
GENOTECNIA VEGETAL III;MARQUEZ F.;52;170,5
