A BAILAR ! 2;COLECCION PIÑATA;0;39,6,,,,
A BASIC ENGLISH GRAMMAR EXERCISES WITH KEY;EASTWOOD, JOHN;0;158,,,,
A BENEFICIO DE INVENTARIO;YOURCENAR MARGUERITE;0;59,,,,,
A BROCHURE AND PAMPHLET COLLECTION 3;SOMOHANO;0;477,,,,,
A CALZON AMARRADO;SELECTOR;11,94;30,,,,
A CHAP LE FALTA UN CHIP;PERIS, CARME;0;55,,,,
A CLOSE UP 1 SEC.;HESS ASTIVIA, RAMIREZ;15,53;28,,,
A CLOSE UP 2 SEC.;HESS;0;28,,,,,
A CLOSE UP 3 SEC.;HESS ASTIVIA, RAMIREZ;0;28,,,,
A DIFFERENT KIND OF CHRISTMAS;HALEY, ALEX;0;5,,,,
A FUERZA DE PALABRAS;LEÑERO, VICENTE;10,01;16,94,,
A JUGAR CON CAJAS;IRVINE, JOAN;0;19,9,,,
A JUGAR CON EL DICCIONARIO;MURRAY, GUILLERMO;0;59,,,,
A JUGAR CON LA CIENCIA;;0;0,,,,,
A JUGAR CON LOS NUMEROS;;7,74;12,9,,,
A JUGAR CON PLASTILINA;REID, BARBARA;7,74;15,,,
A LA CAZA DE LAVINIA;COLLINSON, RIGER;0;35,,,,
A LA MANERA DEL VIEJO ESCARABAJO;DIFOCUR;10,5;16,5,,,
A LA MUJER NI TODO EL AMOR NI TODO EL DINERO;BELMAR J.L.;9;38,5,,,,
A LA SOMBRA DE LA REVOLUCION MEXICANA;AGUILAR CAMIN, HECTOR;0;79,2,,,
A LA SOMBRA DE LOS TEMPLARIOS;ALARCON, RAFAEL;0;34,,,,
A LA SOMBRA DEL ANGEL;BLAIR, KATHRYN;0;119,,,,
A LA VOZ DEL REY;;20;37,4,,,,
A LION TO GUARD US;BULLA CLYDE ROBERT;0;40,,,,,
A LOS PIES DEL MAESTRO;ALCIONE KRISHNAMURTI;0;16,,,,,
A LOS PIES DEL MAESTRO;KRISHNAMURTI;0;13,,,,,
A LOS QUE LLORAN LA MUERTE DE UN SER QUERIDO;LEADBEATER;0;10,,,,,
A MANO ARMADA;BORRAS, LEOPOLDO;10,64;15,2,,
A MI AMOR;SCHUTZ, SUSAN POLIS;0;31,9,,,
A MI HIJA CON AMOR;SCHUTZ, SUSAN POLIS;0;25,3,,,
A MI HIJA;KAUFMAN, LOIS;0;45,,,,
A MI HIJO CON AMOR;SCHUTZ, SUSAN POLIS;0;25,3,,,
A MI NO ME GRITE;QUINO;18,2;45,,,,
A MIDSUMMER NIGHTS DREAM;LOGMAN;0;120,,,,,
A ORILLAS DEL RIO DE PIEDRA ME SENTE Y LLORE;COELHO, PAULO;0;69,,,,
A PESAR DE TODO...;SANCHEZ ANDRAKA;0;29,,,,,
A PESAR DE TODO;SANCHEZ ANDRAKA, JUAN;5,28;13,2,,
A PESAR DEL OSCURO SILENCIO;VOLPI, JORGE;12,74;40,7,,
A PINTAR;GARZA;0;4,95,,,,
A PRACTICAL ENGLISH GRAMMAR;THOMPSON;0;92,,,,,
A QUE JUGAMOS CASSETTE;CONAFE;0;12,,,,,
A QUE NO ADIVINAS!;DUNBAR, FIONA;0;55,,,,
A QUE SABE;SUAREZ MARIBEL;0;29,,,,,
A QUEMARROPA (el asesinato de luis donaldo colos);EGUIA, COLILA;0;86,9,,,
A QUIEN AMA GILBERT GRAPE;HEDGES PETER;0;58,,,,,
A QUIEN EL PSICOANALISIS ATRAPA YA NO SUELTA;ROUSTANG, FRANCOIS;0;49,,,,
A RAINY DAY ON BCB 1133-15;PUBLICACIONES CITEM;0;10,,,,,
A SANGRE FRIA;CAPOTE, TRUMAN;0;40,15,,,
A SANGRE FRIA;CAPOTE;0;40,,,,,
A SANGRE VIVA;HITCHCOCK, ALFRED;0;16,5,,,
A SANGRE Y FUEGO CON PANCHO VILLA;VARGAS ARREOLA JUAN B;0;50,6,,,,
A SEMBRAR EN CASA;WALKER, LOIS;0;30,,,,
A SER FELIZ TAMBIEN SE APRENDE;MILICIC, NEVA;0;60,5,,,
A SUS PLANTAS RENDIDO UN LEON;SORIANO OSVALDO;0;129,,,,,
A TALE TWO CITIES;DICKENS CHARLES;0;66,,,,,
A TANGO ABIERTO;DEL RIO ANA MARIA;0;129,,,,,
A TASTE OF BLACKBERRIES;SMITH DORIS;0;40,,,,,
A TI EDUCADORA;MARTIN DEL CAMPO, CONCEPCION;19,25;36,3,,
A TIENTAS;EDICIONES AMEGA;0;86,,,,,
A TRAVES DE ESTEPA;VERNE, JULIO;6,93;12,71,,
A TRAVES DE LA LLANURA;AUEL, JEAN;0;214,5,,,
A TRAVEZ DEL OJO DE LA MENTE;LEWIS, RALPH    -AMORC;15;15,,,,
A TROMPICONES;PRESSLER MIRJAM;0;45,,,,,
A TUMBA ABIERTA;HITCHCOCK, ALFRED;0;16,5,,,
A USTEDES LES CONSTA;MONSIVAIS, CARLOS;0;89,,,,
A WEEK BY THE SEA ACTIVITY BOOK;OXFORD;0;102,3,,,,
A WEEKEND AWAY ACTIVITI BOOK;OXFORD;0;99,,,,,
A.B.C. DE LA NATURALEZA;ANAYA EDITORES;0;9,9,,,,
AA EXPERIENCIA EN ALCOHOLICOS ANONIMOS LA;;9,69;23,1,,,
ABACO,LA LIRA Y LA ROSA EL;DIAZ JOSE LUIS;0;33,,,,
ABACO MATEMATICA 1;GONZALEZ JUDITH;15,22;81,4,,,
ABACO MATEMATICA 2;GONZALEZ JUDITH;0;81,4,,,,
ABACO MATEMATICA 3;GONZALEZ SALAZAR, JUDITH;0;81,4,,,
ABACO MATEMATICA 4;GONZALEZ SALAZAR, JUDITH;0;81,4,,,
ABACO MATEMATICA 6;GONZALEZ SALAZAR, JUDITH;0;81,4,,,
ABANICO INDIO EL;HOLT, VICTORIA;34,65;86,9,,
ABAQUITO 1;GONZALEZ SALAZAR, JUDITH;0;58,3,,,
ABASTECIMIENTO D/AGUAS Y REMOCION D/AGUAS RESID. 1;FAIR;21,32;145,2,,,
ABASTECIMIENTO DE MATERIALES Y LA VIVIENDA;TAMEZ TEJEDA, ANTONIO;13,79;46,2,,
ABC DE AUTOCAD VERSION 12 EL;MILLER;0;63,8,,,,
ABC DE DOS 6.2 EL;MILLER, ALAN;0;52,25,,,
ABC DE DOS 6;MILLER, ALAN R.;0;52,8,,,
ABC DE EXCEL 4 PARA WINDOWS EL;NEIBAUER, ALAN;0;56,65,,,
ABC DE EXCEL 5 PARA WINDOWS EL;CARDENAS ARELLANO, AGUSTIN;0;75,9,,,
ABC DE EXCEL 5 PARA WINDOWS;CARDENAS, AGUSTIN J.;0;85,,,,
ABC DE KATY Y SAM EL;BRIMAX;0;36,,,,,
ABC DE LA CARTOMANCIA;COLECCION ABC-ESO;0;63,8,,,,
ABC DE LA CIBERNETICA;KASATKIN;5,2;5,72,,,
ABC DE LA CIENCIA DEL CAMINO HACIA DIOS;ORION EDITORES;0;30,,,,,
ABC DE LA CONSERVACION;THEILE, JOHANNA    -ARRAYAN;25;25,,,,
ABC DE LA CONTABILIDAD;ROJAS, DEMOSTENES;0;67,,,,
ABC DE LA HIPNOSIS;COLECCION ABC-ESO;0;63,8,,,,
ABC DE LA INFORMATICA 1;SANTILLANA;13,8;48,4,,,
ABC DE LA INFORMATICA 2;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 3;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 4;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 5;SANTILLANA;0;48,4,,,,
ABC DE LA INFORMATICA 6;SANTILLANA;0;48,4,,,,
ABC DE LA MACROBIOTICA EL;HERNANDEZ, ANA MARIA;0;0,,,,
